PreSynaptic Neuron,PostSynaptic Neuron,N,Inferred
Tm16_like-1,T3-C,3,0
Tm16_like-1,TmY5a-E,5,0
Tm16_like-1,Dm4-0,1,0
Tm16_like-1,Tm4-D,3,0
Tm16_like-1,Lawf1-1,3,0
Tm16_like-1,Tm5c-0,1,0
Tm16_like-1,T3-home,2,0
Tm16_like-1,Tm1-F,2,0
Tm16_like-1,Y3_Y6-0,1,0
Tm16_like-1,Tm1-home,4,0
Tm16_like-1,TmY5a-0,1,0
Tm16_like-1,Tm20-E,4,0
Tm16_like-1,T3-D,2,0
Tm16_like-1,Pm2-1,2,0
Tm16_like-1,Tm5Y-E,1,0
Tm16_like-1,Tm9-home,3,0
Tm16_like-1,Tm9-F,3,0
Tm16_like-1,Tm1-E,4,0
Tm16_like-1,Tm9-E,5,0
Tm16_like-1,L3-F,1,0
Tm16_like-1,Mi4-home,2,0
Tm16_like-1,Tm2-E,1,0
Tm16_like-1,Pm2-3,1,0
Tm2-B,Dm6-2,1,0
Tm2-B,TmY3-B,6,0
Tm2-B,Dm1-2,1,0
Tm2-B,TmY4_like-0,2,0
Tm2-B,Pm3-1,3,0
Tm2-B,Tm4-J,3,0
Tm2-B,Tm5Y-home,1,0
Tm2-B,Y3_Y6-2,2,0
Tm2-B,Pm1-2,6,0
Tm2-B,T3-B,13,0
Tm2-B,TmY5a-0,1,0
Tm2-B,Lawf1-0,4,0
Tm2-B,Mi2-1,2,0
Tm2-B,Tm25_Y1-home,2,0
Tm2-B,Mi9-home,1,0
Tm2-B,TmY10_like-0,1,0
Tm2-B,Dm3x-3,2,0
Tm2-B,Tm4-B,2,0
Tm2-B,Mi9-C,1,0
Tm2-B,L5-B,23,0
Tm2-B,Tm1-B,5,0
Tm2-B,TmY3-F,1,0
Tm2-B,Mi4-B,5,0
Tm2-B,Dm3y-0,8,0
Tm2-B,Mi1-B,1,0
Tm2-B,Dm1-1,4,0
Tm2-B,TmY3-home,2,0
Tm2-B,Tm28_TmY9-0,1,0
Tm2-B,Dm3y-1,3,0
Tm2-B,T3-J,25,0
Tm2-B,Mi9-B,15,0
Tm2-B,TmY3-C,5,0
TmY3-F,T3-F,2,0
TmY3-F,Y3_Y6-3,10,0
TmY3-F,T3-B,1,0
TmY3-F,Tm25_Y1-F,1,0
TmY3-F,T3-A,4,0
TmY3-F,Mi4-F,4,0
TmY3-F,T4a-F,1,0
L2-home,T1-home,202,0
L2-home,Tm20-home,23,0
L2-home,TmY3-home,2,0
L2-home,Mi4-home,3,0
L2-home,Dm1-1,1,0
L2-home,T3-B,3,0
L2-home,Dm6-2,27,0
L2-home,Tm1-home,219,0
L2-home,Tm3a-B,2,0
L2-home,Tm4-home,14,0
L2-home,Dm1-2,1,0
L2-home,T3-C,1,0
L2-home,Dm6-3,19,0
L2-home,Tm2-home,201,0
L2-home,Dm6-4,14,0
L2-home,Dm6-1,7,0
L2-home,L5-home,80,0
L2-home,L2-home,1,0
L2-home,Dm6-6,15,0
L2-home,Tm4-C,54,0
L2-home,Tm4-A,4,0
L2-home,L5-D,3,0
L2-home,C3-home,3,0
L2-home,Dm6-0,25,0
L2-home,TmY3-B,15,0
L2-home,Tm4-D,1,0
L2-home,Tm4-B,45,0
L2-home,Tm4-J,21,0
L2-home,T3-J,1,0
L1-D,Mi1-D,161,0
L1-D,Tm3p-N,11,0
L1-D,Tm3a-home,1,0
L1-D,Tm3p-D,18,0
L1-D,Tm3a-C,20,0
L1-D,C3-D,65,0
L1-D,C2-D,56,0
L1-D,L5-D,153,0
L1-D,Tm3a-D,2,0
L1-D,Tm3p-E,21,0
T4c-F,Mi4-F,1,0
T4c-F,Mi9-F,3,0
T4c-F,T4c-A,1,0
T4c-F,T4d-F,2,0
T4c-F,Mi9-A,1,0
T4c-F,T4b-F,1,0
T4c-F,C2-home,1,0
T4c-F,T4b-home,1,0
T4c-F,Lawf2-0,1,0
T4c-F,Mi22-3,1,0
T4c-F,T4d-home,1,0
T4c-F,T4b-P,2,0
Tm3p-D,L1-L,1,0
Tm3p-D,T3-C,3,0
Tm3p-D,Mi1-D,1,0
Tm3p-D,Pm4-0,8,0
Tm3p-D,Mi4-C,2,0
Tm3p-D,Tm3p-E,4,0
Tm3p-D,L1-C,1,0
Tm3p-D,TmY13_like-1,3,0
Tm3p-D,T4a-D,8,0
Tm3p-D,Tm3a-K,2,0
Tm3p-D,Tm3a-C,2,0
Tm3p-D,Tm4-K,1,0
Tm3p-D,T4d-C,4,0
Tm3p-D,Mi22-1,1,0
Tm3p-D,T2a-D,3,0
Tm3p-D,Mi4-D,2,0
Tm3p-D,TmY3-C,6,0
Tm3p-D,Lawf2-1,1,0
Tm3p-D,T4a-home,3,0
Tm3p-D,T4a-C,3,0
Tm3p-D,T4a-L,1,0
Tm3p-D,Pm2-8,1,0
Tm3p-D,T3-K,8,0
Tm3p-D,T4b-D,9,0
Tm3p-D,T4c-L,5,0
Tm3p-D,Pm4-8,9,0
Tm3p-D,L1-D,5,0
Tm3p-D,Tm6_14-K,1,0
Tm3p-D,T3-out,9,0
Tm3p-D,Pm1-0,10,0
Tm3p-D,T4c-home,4,0
Tm3p-D,T2a-C,1,0
Tm3p-D,Dm6-4,1,0
Tm3p-D,Tm5c_like,2,0
Tm3p-D,Dm2-C,1,0
Tm3p-D,T2a-L,2,0
Tm3p-D,L1-home,1,0
Tm3p-D,Dm6-0,1,0
Tm3p-D,T4c-D,10,0
Tm3p-D,T4d-D,8,0
Tm3p-D,Mi1-C,1,0
Tm3p-D,Lawf1-0,1,0
Tm3p-D,TmY3-home,8,0
Mi22-2,Tm5Y-Q,1,0
Mi22-2,Lawf1-1,6,0
Mi22-2,TmY3-P,2,0
Mi22-2,Lawf1-0,6,0
Mi22-2,Mi9-Q,4,0
Mi22-2,Mi9-P,1,0
Mi22-2,T4d-R,1,0
Mi22-2,Mi22-0,4,0
Mi22-2,T4b-P,1,0
Mi22-2,Tm5a-F,2,0
Mi22-2,Mi9-F,3,0
Mi22-2,T4a-F,1,0
Mi22-2,Lawf1-2,8,0
Mi22-2,Mi9-E,2,0
Mi22-2,T4d-E,2,0
Mi22-2,TmY13_like-0,5,0
Mi22-2,Mi9-home,1,0
Mi22-2,Tm4-A,1,0
Mi22-2,Pm1-1,1,0
Mi22-2,Mi22-1,3,0
L1-K,Tm3a-K,2,0
Dm5_like-1,TmY4_like-4,2,0
Dm5_like-1,TmY5a-0,2,0
Dm5_like-1,Tm5b-C,1,0
Dm5_like-1,Tm5b-E,8,0
Dm5_like-1,Dm5_like-0,1,0
Dm5_like-1,Mi2-1,1,0
Dm5_like-1,Tm5c_like,1,0
Dm8-Q,Tm5a-E,1,0
Dm8-Q,Tm5b-F,8,0
C3-P,T4b-P,2,0
C3-P,T4d-Q,3,0
C3-P,T4b-3O,6,0
C3-P,Dm3y-3,1,0
C3-P,Pm2-1,1,0
C3-P,L5-P,1,0
C3-P,C2-home,1,0
C3-P,T3-F,1,0
C3-P,Tm4-F,1,0
C3-P,T4d-home,1,0
C3-P,Mi1-E,1,0
C3-P,Pm3-0,1,0
C3-P,Tm1-P,7,0
C3-P,Mi9-P,9,0
C3-P,Tm4-home,1,0
C3-P,Dm3y-4,3,0
C3-P,T4d-E,1,0
C3-P,Mi1-P,1,0
C3-P,Mi4-P,2,0
C3-P,Pm1-0,1,0
C3-P,T4d-F,1,0
C3-P,Pm3-1,1,0
C3-P,L2-P,8,0
C3-P,T4a-E,3,0
C3-P,Tm6_14-home,3,0
C3-P,T3-home,1,0
C3-P,T1-P,13,0
C3-P,Tm5c-2,1,0
C3-P,Dm4-6,1,0
C3-P,T4a-home,1,0
C3-P,T4a-F,10,0
Dm8-D,Dm7-1,1,0
Dm8-D,Tm5b-D,16,0
Dm8-D,Dm9-0,6,0
Dm8-D,Tm5a-C,3,0
Dm8-D,Dm5_like-1,1,0
Dm8-D,TmY4_like-4,1,0
Dm8-D,Dm2-E,1,0
Dm8-D,TmY10_like-1,1,0
Dm8-D,Dm2-home,1,0
Dm8-D,Tm25_Y1-E,1,0
Dm8-D,Tm5c-0,2,0
Dm8-D,Tm5b-C,7,0
Dm8-D,Mi9-N,1,0
Dm8-D,Dm8-L,1,0
Dm3y-6,Dm3x-2,1,0
Dm3y-6,T1-C,1,0
Dm3y-6,Tm5Y-C,1,0
Dm3y-6,Mi4-C,1,0
Dm3y-6,Mi9-C,1,0
Dm3y-6,Mi9-D,1,0
Dm3y-6,Dm3x-1,1,0
L4-home,TmY3-home,9,0
L4-home,Tm4-D,1,0
L4-home,Tm3a-home,1,0
L4-home,T3-F,1,0
L4-home,TmY3-F,7,0
L4-home,Mi9-E,2,0
L4-home,Tm4-home,5,0
L4-home,Mi9-F,2,0
L4-home,Dm5_like-1,1,0
L4-home,Tm3a-A,1,0
L4-home,Tm25_Y1-E,1,0
L4-home,Tm5c-2,1,0
L4-home,T3-home,7,0
L4-home,Tm2-F,17,0
L4-home,Tm4-C,2,0
L4-home,Tm2-E,5,0
L4-home,Tm2-home,4,0
L4-home,Tm9-F,1,0
L4-home,Tm4-B,3,0
L4-home,TmY3-P,12,0
T2-J,Tm6_14-J,1,0
T2-J,Tm5b-B,3,0
T2-J,Tm3p-B,1,0
T2-J,Mi1-B,2,0
T2-J,T3-C,1,0
T2-J,Dm3y-2,1,0
T2-J,Tm5a-C,2,0
T2-J,Pm4-2,2,0
T2-J,Tm16_like-0,1,0
T2-J,TmY5a-0,4,0
T2-J,Dm5_like-0,2,0
T2-J,Tm5a-J,4,0
T2-J,Pm1-2,2,0
T2-J,TmY4_like-0,1,0
T2-J,Mi1-C,2,0
T2-J,Tm3p-home,2,0
T2-J,TmY13_like-1,1,0
T2a-Q,T3-A,1,0
T2a-Q,Tm25_Y1-F,3,0
T2a-Q,Tm6_14-A,2,0
T2a-Q,TmY5a-F,1,0
T2a-Q,Y3_Y6-3,1,0
T2a-Q,Y3_Y6-0,2,0
T2a-Q,Y3_Y6-5,2,0
T2a-Q,Pm1-1,4,0
T2a-Q,T3-P,1,0
T2a-Q,Tm6_14-F,5,0
T2a-Q,Lawf2-0,1,0
T2a-Q,T2-A,1,0
T4c-home,TmY4_like-3,1,0
T4c-home,T4c-C,2,0
T4c-home,T4c-A,1,0
T4c-home,T4a-C,1,0
T4c-home,Mi9-D,3,0
T4c-home,Mi9-E,1,0
T4c-home,T4c-P,1,0
T4c-home,T4c-B,2,0
T4c-home,T4c-E,2,0
T4c-home,T2a-D,1,0
T4c-home,T4c-D,1,0
T4d-C,Tm3a-C,1,0
T4d-C,T4d-home,2,0
T4d-C,T4d-D,1,0
T4d-C,T4b-home,1,0
T4d-C,Pm1-0,2,0
T4d-C,T4c-E,1,0
T4d-C,T4d-C,1,0
T4d-C,T4d-E,1,0
T4d-C,T4d-B,1,0
Mi1-E,T4d-F,4,0
Mi1-E,TmY4_like-2,4,0
Mi1-E,T4d-P,4,0
Mi1-E,T4a-E,33,0
Mi1-E,TmY3-home,9,0
Mi1-E,Tm3a-C,13,0
Mi1-E,Mi9-E,10,0
Mi1-E,T4b-home,11,0
Mi1-E,Mi1-E,15,0
Mi1-E,C3-E,13,0
Mi1-E,T3-C,7,0
Mi1-E,T4c-E,38,0
Mi1-E,T2-D-2nd,13,0
Mi1-E,Pm4-3,82,0
Mi1-E,Pm4-4,19,0
Mi1-E,T4d-E,34,0
Mi1-E,T2-D,7,0
Mi1-E,Pm2-0,12,0
Mi1-E,Tm1-E,3,0
Mi1-E,Pm2-8,7,0
Mi1-E,Y3_Y6-0,13,0
Mi1-E,TmY5a-E,3,0
Mi1-E,C2-home,2,0
Mi1-E,T3-D,4,0
Mi1-E,T4b-E,30,0
Mi1-E,Mi2-2,1,0
Mi1-E,Dm2-E,8,0
Mi1-E,Tm6_14-home,6,0
Mi1-E,Y3_Y6-2,13,0
Mi1-E,T4c-F,1,0
Mi1-E,T2a-P,6,0
Mi1-E,Mi2-1,5,0
Mi1-E,TmY3-P,1,0
Mi1-E,T4a-F,29,0
Mi1-E,T4d-D,9,0
Mi1-E,Y3_Y6-3,4,0
Mi1-E,Tm6_14-C,1,0
Mi1-E,T3-home,11,0
Mi1-E,T4a-D,3,0
Mi1-E,Mi2-0,12,0
Mi1-E,Tm3a-D,6,0
Mi1-E,Pm2-6,18,0
Mi1-E,T4b-D,4,0
Mi1-E,T2a-home,10,0
Mi1-E,Y3_Y6-1,17,0
Mi1-E,T4b-F,2,0
Mi1-E,Mi4-E,20,0
Mi1-E,Tm3p-E,22,0
Mi1-E,L5-E,8,0
Mi1-E,T4c-D,4,0
Mi1-E,C2-E,8,0
Mi1-E,Tm3a-home,15,0
Mi1-E,T4b-O,5,0
Mi1-E,T2-E,9,0
Mi1-E,T2a-F,9,0
Mi1-E,Pm3-1,7,0
Mi1-E,T4a-P,3,0
Mi1-E,Pm2-3,8,0
Mi1-E,T4c-A,1,0
Mi1-E,T4c-N,6,0
Mi1-E,Pm2-2,15,0
Mi1-E,Dm9-3,1,0
Mi1-E,T2-C,9,0
Mi1-E,Tm28_TmY9-0,1,0
Mi1-E,Tm20-D,1,0
Mi1-E,T2a-E,39,0
Mi1-E,Pm3-0,6,0
Mi1-E,T3-E,3,0
Mi1-E,T2-home,2,0
Mi1-E,Pm2-7,17,0
Mi1-E,Pm2-1,22,0
Mi1-E,Tm3p-N,3,0
Mi1-E,T4a-home,2,0
Mi1-E,Tm25_Y1-E,16,0
Mi1-E,Tm28_TmY9-1,2,0
Mi1-E,Dm2-F,1,0
Mi1-E,T4d-home,5,0
Mi1-E,T4c-home,12,0
Mi1-E,TmY4_like-0,1,0
Mi1-E,Tm5c-2,1,0
Mi1-E,T4b-P,4,0
Mi1-E,Tm5b-E,1,0
Mi1-E,Tm20-E,6,0
Mi1-E,C2-D,2,0
Mi1-E,Tm3p-P,11,0
Mi1-E,Pm4-0,2,0
Mi1-E,L1-E,23,0
L5-Q,C2-F,9,0
L5-Q,L2-Q,4,0
L5-Q,L1-Q,15,0
L5-Q,Dm1-0,6,0
L5-Q,Mi4-P,1,0
L5-Q,L5-F,2,0
L5-Q,C2-B,1,0
L5-Q,Mi4-F,4,0
L5-Q,TmY3-P,4,0
L5-Q,Mi1-Q,22,0
L5-Q,Tm25_Y1-F,3,0
L5-Q,Mi4-Q,10,0
L5-Q,Mi21,2,0
L5-Q,C3-Q,8,0
L5-Q,Tm3p-P,3,0
L5-Q,T3-F,4,0
Dm1-0,Mi1-E,5,0
Dm1-0,L5-P,1,0
Dm1-0,Tm20-F,1,0
Dm1-0,Tm3a-A,8,0
Dm1-0,TmY3-P,2,0
Dm1-0,TmY3-F,4,0
Dm1-0,Tm2-Q,1,0
Dm1-0,Mi1-Q,3,0
Dm1-0,Tm3p-E,3,0
Dm1-0,Tm3a-home,2,0
Dm1-0,Tm4-E,1,0
Dm1-0,Mi1-P,1,0
Dm1-0,L5-Q,2,0
Dm1-0,Tm6_14-C,2,0
Dm1-0,Tm3a-B,3,0
Dm1-0,Tm2-F,5,0
Dm1-0,C3-F,2,0
Dm1-0,L2-P,3,0
Dm1-0,Mi1-F,19,0
Dm1-0,L5-E,3,0
Dm1-0,Tm3p-P,2,0
Dm1-0,L5-F,8,0
Dm1-0,Tm1-E,1,0
Dm1-0,L2-R,8,0
Dm1-0,L2-E,5,0
Dm1-0,Tm2-E,2,0
Dm1-0,Tm2-P,1,0
Dm1-0,Tm1-Q,1,0
Dm1-0,L2-Q,6,0
Dm1-0,C2-Q,1,0
Dm1-0,L2-F,17,0
Dm1-0,L1-F,1,0
Dm1-0,Tm4-home,1,0
Dm1-0,T1-F,1,0
T2a-home,Tm25_Y1-E,4,0
T2a-home,T3-home,3,0
T2a-home,Pm3-0,1,0
T2a-home,Tm3p-P,1,0
T2a-home,Tm6_14-home,3,0
T2a-home,Tm6_14-C,1,0
T2a-home,Y3_Y6-1,2,0
T2a-home,Pm3-1,6,0
T2a-home,Pm1-0,5,0
T2a-home,TmY5a-E,2,0
T2a-home,Tm3a-C,4,0
T2a-home,TmY5a-D,2,0
T2a-home,Y3_Y6-3,2,0
Tm5b-C,Tm22_like,2,0
Tm5b-C,TmY13_like-1,1,0
Tm5b-C,TmY3-P,1,0
Tm5b-C,Tm20-home,1,0
Tm5b-C,TmY10_like-0,1,0
Tm5b-C,Tm5c-0,1,0
Tm5b-C,Pm4-0,10,0
Tm3p-P,T4a-P,6,0
Tm3p-P,TmY5a-F,2,0
Tm3p-P,Pm2-9,1,0
Tm3p-P,Pm1-0,12,0
Tm3p-P,TmY3-P,7,0
Tm3p-P,T4c-F,5,0
Tm3p-P,Pm2-0,1,0
Tm3p-P,T2-F,3,0
Tm3p-P,Pm1-1,20,0
Tm3p-P,L1-P,5,0
Tm3p-P,T4d-E,5,0
Tm3p-P,C2-F,1,0
Tm3p-P,Tm3a-D,2,0
Tm3p-P,Dm6-6,6,0
Tm3p-P,TmY5a-E,3,0
Tm3p-P,T4d-F,10,0
Tm3p-P,T2a-F,12,0
Tm3p-P,Mi1-F,1,0
Tm3p-P,T4b-E,3,0
Tm3p-P,Mi4-F,1,0
Tm3p-P,Lawf1-1,2,0
Tm3p-P,Pm4-0,16,0
Tm3p-P,T4d-Q,4,0
Tm3p-P,T4d-P,3,0
Tm3p-P,T3-F,28,0
Tm3p-P,L1-E,1,0
Tm3p-P,Tm3a-E,1,0
Tm3p-P,Mi1-E,1,0
Tm3p-P,T2a-Q,7,0
Tm3p-P,T4b-F,9,0
Tm3p-P,T4a-F,3,0
Tm3p-P,Lawf2-1,1,0
Tm3p-P,TmY4_like-2,2,0
Tm3p-P,C2-home,1,0
Tm3p-P,Lawf2-0,13,0
Tm3p-P,Pm4-7,7,0
Tm3p-P,Tm6_14-F,1,0
Tm3p-P,Tm3a-home,3,0
Tm3p-P,T3-home,9,0
Tm3p-P,T4a-E,3,0
Tm3p-P,TmY3-F,1,0
Tm3p-P,Tm3a-A,1,0
Tm3p-P,L1-F,5,0
Tm3p-P,T2-home,3,0
Tm3p-P,C3-P,1,0
Tm3p-P,T4c-A,1,0
Tm3p-P,TmY3-home,3,0
Tm3p-P,T4c-E,6,0
Tm3p-P,T3-E,4,0
Tm3p-P,T4c-P,6,0
Tm3p-P,Dm6-1,3,0
Tm3p-P,T4b-P,17,0
Tm9-A,Tm25_Y1-home,1,0
Tm9-A,Dm3y-1,1,0
Tm9-A,Tm5Y-F,2,0
Tm9-A,Tm6_14-J,1,0
Tm9-A,Dm3y-4,3,0
Tm9-A,Tm5Y-A,1,0
Tm9-A,Dm3x-3,1,0
Tm9-A,Mi9-A,1,0
Tm9-A,Dm3y-3,1,0
Tm9-E,Dm3y-2,1,0
Tm9-E,Tm28_TmY9-2,1,0
Tm9-E,Tm5Y-E,1,0
Tm9-E,Tm5Y-F,1,0
Tm9-E,Tm28_TmY9-1,1,0
Tm9-E,Tm6_14-home,1,0
Tm9-E,Tm20-E,3,0
Tm9-E,TmY4_like-3,2,0
Tm4-A,Mi4,1,0
Tm4-A,C3-F,7,0
Tm4-A,Tm1-F,1,0
Tm4-A,TmY3-P,2,0
Tm4-A,Tm4-B,2,0
Tm4-A,Tm4-F,2,0
Tm4-A,C2-F,1,0
Tm4-A,Tm6_14-home,1,0
Tm4-A,T2a-A,2,0
Tm4-A,C2-A,1,0
Tm4-A,T2a-Q,1,0
Tm4-A,Lawf2-0,5,0
Tm4-A,TmY5a-F,19,0
Tm4-A,T4b-A,1,0
Tm4-A,Tm4-C,1,0
Tm4-A,TmY3-F,1,0
Tm4-A,T2-B,2,0
Tm4-A,Mi4-Q,1,0
Tm4-A,Pm2-1,2,0
Tm4-A,TmY3-home,1,0
Tm4-A,Tm3a-A,2,0
Tm4-A,T2a-home,2,0
Tm4-A,T2-A,2,0
Tm4-A,Tm6_14-F,1,0
Tm4-A,Pm4-0,22,0
Tm4-A,Mi4-F,2,0
Tm4-A,Tm3p-P,1,0
Mi4-D,Y3_Y6-1,5,0
Mi4-D,Dm9-0,1,0
Mi4-D,T4b-E,6,0
Mi4-D,T4d-D,2,0
Mi4-D,TmY3-P,4,0
Mi4-D,Dm3x-2,5,0
Mi4-D,Y3_Y6-4,7,0
Mi4-D,Tm5Y-E,1,0
Mi4-D,Y3_Y6-2,1,0
Mi4-D,TmY13_like-0,9,0
Mi4-D,Tm6_14-K,1,0
Mi4-D,Mi9-D,42,0
Mi4-D,Tm20-D,13,0
Mi4-D,T4c-L,2,0
Mi4-D,Tm16_like-2,8,0
Mi4-D,TmY10_like-1,10,0
Mi4-D,T4a-L,8,0
Mi4-D,TmY13_like-1,7,0
Mi4-D,T4c-D,5,0
Mi4-D,TmY5a-E,2,0
Mi4-D,Tm22_like,1,0
Mi4-D,Tm16_like-0,10,0
Mi4-D,Pm2-0,1,0
Mi4-D,Tm4-K,1,0
Mi4-D,Tm1-D,2,0
Mi4-D,TmY5a-D,3,0
Mi4-D,Mi4-N,1,0
Mi4-D,T3-K,1,0
Mi4-D,Dm6-0,2,0
Mi4-D,Tm6_14-J,1,0
Mi4-D,Tm9-C,2,0
Mi4-D,Pm4-4,1,0
Mi4-D,T4a-C,14,0
Mi4-D,T4a-D,2,0
Mi4-D,TmY4_like-3,1,0
Mi4-D,T4b-D,4,0
Mi4-D,Dm3y-5,1,0
Mi4-D,Tm16_like-1,8,0
Mi4-D,TmY3-home,2,0
Mi4-D,Tm5b-D,1,0
Mi4-D,Dm1-3,1,0
Mi4-D,Tm2-D,2,0
Mi4-D,TmY3-C,3,0
Mi4-D,Tm9-D,11,0
Mi4-D,T3-D,1,0
Mi4-D,Mi9-N,1,0
Mi4-D,T4a-E,1,0
Mi4-D,Mi1-D,1,0
Mi4-D,Pm4-0,1,0
Mi4-D,Mi4-C,1,0
Mi4-D,T4d-home,9,0
TmY3-P,L4-F,1,0
TmY3-P,T3-A,1,0
TmY3-P,Tm2-Q,1,0
TmY3-P,TmY13_like-0,2,0
TmY3-P,L5-P,1,0
TmY3-P,TmY5a-F,1,0
TmY3-P,L5-home,1,0
TmY3-P,Tm3p-P,1,0
TmY3-P,Mi1-Q,1,0
TmY3-P,Tm2-F,1,0
TmY3-P,Mi4-F,1,0
TmY3-P,T3-B,1,0
TmY3-P,Tm1-Q,1,0
TmY3-P,TmY10_like-0,1,0
TmY3-P,Tm25_Y1-F,6,0
TmY3-P,TmY3-home,1,0
TmY3-P,Tm2-home,1,0
TmY3-P,T3-F,13,0
Dm6-0,Tm2-B,8,0
Dm6-0,T1-D,5,0
Dm6-0,T3-C,1,0
Dm6-0,L2-A,9,0
Dm6-0,Mi4-B,3,0
Dm6-0,T3-home,1,0
Dm6-0,Tm2-A,5,0
Dm6-0,Dm1-3,2,0
Dm6-0,T1-home,8,0
Dm6-0,Mi1-C,1,0
Dm6-0,L2-B,13,0
Dm6-0,C3-A,1,0
Dm6-0,Mi4-D,3,0
Dm6-0,T3-K,1,0
Dm6-0,T1-A,9,0
Dm6-0,Mi4-C,7,0
Dm6-0,Mi4-home,2,0
Dm6-0,Tm1-A,1,0
Dm6-0,Tm1-home,1,0
Dm6-0,Tm2-home,3,0
Dm6-0,L2-home,6,0
Dm6-0,Mi9-C,2,0
Dm6-0,T3-J,1,0
Dm6-0,Tm2-C,12,0
Dm6-0,Tm1-C,1,0
Dm6-0,L2-C,17,0
Dm6-0,Mi4,2,0
Dm6-0,Mi1-B,3,0
Dm6-0,Mi4-F,1,0
Dm6-0,T1-B,12,0
Dm6-0,L2-K,2,0
Dm6-0,Dm1-1,2,0
Dm6-0,L2-D,7,0
Dm6-0,Mi1-A,1,0
Dm6-0,Tm2-D,7,0
Dm6-0,Mi1-home,1,0
Dm6-0,Dm1-2,3,0
Dm6-0,T1-C,13,0
Dm6-0,Mi1-D,3,0
Dm6-0,Tm3a-B,1,0
Tm5b-home,T2-J,1,0
Tm5b-home,Tm5a-J,1,0
Tm5b-home,TmY4_like-4,1,0
Tm5b-home,Tm5Y-C,1,0
Tm5b-home,Tm16_like-2,1,0
Tm5b-home,Tm5a-C,2,0
Tm5b-home,Tm16_like-0,1,0
Tm5b-home,Dm2-home,3,0
Tm5b-home,Tm8_like,2,0
Tm5b-home,Mi21,2,0
Tm5b-home,Dm2-C,1,0
Tm5b-home,Dm7_Mi16_like-0,3,0
Tm5b-home,Tm5b-C,2,0
Tm5b-home,Tm5b-E,1,0
Tm2-P,Pm1-1,11,0
Tm2-P,Tm6_14-A,1,0
Tm2-P,L5-E,3,0
Tm2-P,Tm6_14-C,1,0
Tm2-P,L5-P,14,0
Tm2-P,Mi4-P,3,0
Tm2-P,Tm4-F,1,0
Tm2-P,T2a-P,1,0
Tm2-P,T3-F,20,0
Tm2-P,Tm1-P,2,0
Tm2-P,Y3_Y6-0,11,0
Tm2-P,Lawf2-0,1,0
Tm2-P,Tm2-P,1,0
Tm2-P,Tm6_14-home,8,0
Tm2-P,Dm1-0,2,0
Tm2-P,Dm3y-4,4,0
Tm2-P,Pm4-7,2,0
Tm2-P,T2a-Q,1,0
Tm2-P,Mi9-P,7,0
Tm2-P,T2-E,1,0
Tm2-P,Pm3-0,11,0
Tm2-P,Tm4-E,1,0
Tm2-P,TmY3-P,7,0
Tm2-P,T3-home,9,0
Tm2-P,L2-P,2,0
Tm2-P,Dm3y-3,1,0
Tm2-P,Dm3x-2,2,0
Tm2-P,T3-E,12,0
Tm2-P,T3-P,14,0
Tm2-P,Tm16_like-3,1,0
Tm2-P,C3-P,3,0
Tm2-P,TmY4_like-2,1,0
Tm2-P,Tm28_TmY9-1,2,0
Tm1-A,Y3_Y6-3,19,0
Tm1-A,T1-A,1,0
Tm1-A,Tm4-B,3,0
Tm1-A,Tm20-A,13,0
Tm1-A,T2-home,3,0
Tm1-A,Mi4,1,0
Tm1-A,Dm3x-3,10,0
Tm1-A,C3-F,1,0
Tm1-A,Dm3y-4,2,0
Tm1-A,Pm2-0,29,0
Tm1-A,Pm4-6,49,0
Tm1-A,Mi9-A,8,0
Tm1-A,Pm2-1,22,0
Tm1-A,L2-A,1,0
Tm1-A,Tm5Y-F,4,0
Tm1-A,Dm2-A,3,0
Tm1-A,Tm9-A,3,0
Tm1-A,T2-A,18,0
Tm1-A,Tm6_14-J,1,0
Tm1-A,C3-A,2,0
Tm1-A,Dm3y-3,15,0
Tm1-A,T3-B,2,0
Tm1-A,Tm5Y-A,3,0
Tm1-A,Tm6_14-B,21,0
Tm1-A,Lawf2-0,4,0
Tm1-A,T2-B,8,0
Tm1-A,L5-A,12,0
Tm1-A,Pm2-7,11,0
Tm1-A,T2a-A,34,0
Tm1-A,Tm4-A,2,0
Tm1-A,Tm25_Y1-home,2,0
Tm1-A,Tm6_14-A,10,0
Mi1-A,T2-A,11,0
Mi1-A,Mi9-A,11,0
Mi1-A,TmY3-home,6,0
Mi1-A,C3-A,3,0
Mi1-A,Tm3a-home,6,0
Mi1-A,T2a-A,23,0
Mi1-A,T4a-A,18,0
Mi1-A,Pm4-6,58,0
Mi1-A,Tm3a-C,4,0
Mi1-A,Tm28_TmY9-1,1,0
Mi1-A,T3-A,1,0
Mi1-A,Dm2-B,1,0
Mi1-A,Mi22-0,3,0
Mi1-A,T2-B,10,0
Mi1-A,Tm25_Y1-home,4,0
Mi1-A,Mi4,14,0
Mi1-A,Tm25_Y1-F,2,0
Mi1-A,Mi2-0,2,0
Mi1-A,Mi1-A,5,0
Mi1-A,T2-home,2,0
Mi1-A,Tm6_14-B,6,0
Mi1-A,TmY3-F,3,0
Mi1-A,Y3_Y6-3,17,0
Mi1-A,Tm1-A,1,0
Mi1-A,T4d-A,13,0
Mi1-A,L5-A,11,0
Mi1-A,Tm3p-home,3,0
Mi1-A,C2-F,1,0
Mi1-A,Pm2-7,12,0
Mi1-A,L1-A,22,0
Mi1-A,T3-B,11,0
Mi1-A,T4c-A,6,0
